Distance Traveled (m),Odometer measure (m),GPS measure (m),ZED camera measure (m)
221.72,210.5478036,225.6146813,254.012
222.64,211.2248062,228.301174,255.221
223.56,212.5788114,228.301174,256.244
224.48,213.255814,228.301174,257.27
225.4,213.9328165,231.0945433,258.433
226.32,215.2868217,231.0945433,259.516
227.24,215.9638243,231.0945433,260.68
228.16,217.3178295,233.8879127,261.854
229.08,217.994832,233.8879127,262.875
230,218.6718346,236.4455427,263.874
230.92,219.3488372,236.4455427,264.872
231.84,220.7028424,236.4455427,265.937
232.76,221.379845,239.0692543,266.946
233.68,222.0568475,239.1641769,267.993
234.6,222.7338501,239.2590994,268.926
235.52,223.4108527,241.5471071,270.152
236.44,224.7648579,241.6420297,271.355
237.36,225.4418605,241.7369522,272.508
238.28,226.118863,244.0269281,273.403
239.2,226.7958656,244.0269281,274.399
240.12,228.1498708,244.0269281,275.528
241.04,229.503876,246.6506397,276.722
241.96,230.1808786,246.7455622,277.83
242.88,230.8578811,249.1318782,278.731
243.8,231.5348837,249.1318782,279.662
244.72,232.8888889,249.1318782,280.74
245.64,233.5658915,251.6397027,281.829
246.56,234.2428941,251.6397027,282.749
247.48,235.5968992,251.6397027,283.664
248.4,236.9509044,254.2008532,284.645
249.32,237.627907,254.2008532,285.67
250.24,238.3049096,256.590942,286.682
251.16,239.6589147,256.590942,287.854
252.08,240.3359173,256.590942,288.908
253,241.0129199,258.977258,290.03
253.92,241.6899225,258.977258,290.962
254.84,243.0439276,258.977258,291.991
255.76,243.7209302,261.363574,293.174
256.68,245.0749354,261.363574,294.148
257.6,245.751938,263.9872856,295.22
258.52,247.1059432,263.9872856,296.31
259.44,247.7829457,263.9872856,297.24
260.36,248.4599483,266.6109972,298.469
261.28,249.8139535,266.6109972,299.405
262.2,250.4909561,266.6109972,300.333
263.12,251.1679587,269.2347088,301.232
264.04,252.5219638,269.2347088,302.223
264.96,253.1989664,271.6880483,303.219
265.88,254.5529716,271.6880483,304.273
266.8,255.2299742,271.6880483,305.182
267.72,255.9069767,274.3862542,306.404
268.64,257.2609819,274.3862542,307.348
269.56,257.9379845,274.3862542,308.104
270.48,259.2919897,276.6997176,309.001
271.4,259.9689922,278.748814,309.95
272.32,260.6459948,280.1471105,310.726
273.24,261.3229974,280.9124006,311.651
274.16,262,281.8375912,312.2
